CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
,05/30/2020 11:50:00 PM,20-025617,BATTERY,33X,1200 94TH AVENUE,Oakland,CA,"1200 94TH AVENUE
Oakland, CA
(37.745635, -122.175914)"
MISDEMEANOR ASSAULT,05/05/2020 08:00:00 AM,20-022555,SC ADW - OTHER DANGEROUS WEAPON,34X,9300 OLIVE ST,Oakland,CA,"9300 OLIVE ST
Oakland, CA
(37.750935, -122.166615)"
HOMICIDE,03/28/2020 07:04:00 PM,20-016616,ATTEMPTED MURDER-FIREARM,21Y,3300 NICOL AV,Oakland,CA,"3300 NICOL AV
Oakland, CA
(37.791078, -122.211009)"
KIDNAPPING,04/25/2020 08:05:00 AM,20-020884,THREAT CRIME:INT:TERRORIZE,34X,8800 OLIVE ST,Oakland,CA,"8800 OLIVE ST
Oakland, CA
(37.754186, -122.168595)"
BURG - AUTO,05/15/2020 07:50:00 AM,20-024192,POSSESS NARCOTIC CONTROLLED SUBSTANCE,19X,1200 11TH AV,Oakland,CA,"1200 11TH AV
Oakland, CA
(37.790782, -122.249633)"
BURG - AUTO,03/07/2020 09:00:00 PM,20-906874,BURGLARY-AUTO,04X,1700 SAN PABLO AV,Oakland,CA,"1700 SAN PABLO AV
Oakland, CA
(37.807536, -122.27225)"
STOLEN VEHICLE,05/19/2020 07:30:00 AM,20-024846,VEHICLE THEFT - AUTO,15X,200 WAYNE AV,Oakland,CA,"200 WAYNE AV
Oakland, CA
(37.801154, -122.252512)"
,04/10/2020 08:00:00 PM,20-018728,VEHICLE THEFT - AUTO,25Y,4100 MAYNARD AV,Oakland,CA,"4100 MAYNARD AV
Oakland, CA
(37.772882, -122.156527)"
VANDALISM,03/21/2020 09:50:00 PM,20-015612,VIOLATION OF PROBATION-MISD,04X,1900 SAN PABLO AV,Oakland,CA,"1900 SAN PABLO AV
Oakland, CA
(37.809032, -122.27271)"
MISDEMEANOR ASSAULT,04/25/2020 09:07:00 AM,20-020895,TRESPASS:OCCUPY PROPERTY W/O CONSENT,02Y,1500 8TH ST,Oakland,CA,"1500 8TH ST
Oakland, CA
(37.806607, -122.295624)"
,03/13/2020 07:00:00 PM,20-014588,VIOLATION CUSTODY DECREE,30X,1500 76TH AV,Oakland,CA,"1500 76TH AV
Oakland, CA
(37.759572, -122.182793)"
STOLEN VEHICLE,05/18/2020 06:00:00 PM,20-024814,VEHICLE THEFT - AUTO,18Y,2100 E 27TH ST,Oakland,CA,"2100 E 27TH ST
Oakland, CA
(37.794717, -122.229827)"
FELONY ASSAULT,04/18/2020 06:00:00 PM,20-019847,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,29X,5800 FOOTHILL BLVD,Oakland,CA,"5800 FOOTHILL BLVD
Oakland, CA
(37.771865, -122.192053)"
DUI,04/11/2020 10:57:00 PM,20-018653,POSS OPEN CONTAINER WHILE DRIVING,27X,1700 50TH AV,Oakland,CA,"1700 50TH AV
Oakland, CA
(37.772147, -122.206789)"
THREATS,04/23/2020 07:53:00 AM,20-020559,THREAT CRIME:INT:TERRORIZE,16X,3500 LAKESHORE AV,Oakland,CA,"3500 LAKESHORE AV
Oakland, CA
(37.811769, -122.24195)"
PETTY THEFT,03/22/2020 06:30:00 PM,20-015845,THEFT,22Y,3400 QUIGLEY LN,Oakland,CA,"3400 QUIGLEY LN
Oakland, CA
(37.793549, -122.202604)"
FELONY ASSAULT,03/21/2020 06:31:00 PM,20-015595,"FORCE/ADW-HANDS, FISTS, FEET:GBI",20X,2300 FOOTHILL BLVD,Oakland,CA,"2300 FOOTHILL BLVD
Oakland, CA
(37.785082, -122.233852)"
,05/01/2020 06:00:00 PM,20-022033,ROBBERY-OTHER DANGEROUS WEAPON,07X,2400 WOOD ST,Oakland,CA,"2400 WOOD ST
Oakland, CA
(37.820428, -122.292125)"
ROBBERY,03/20/2020 12:30:00 PM,20-015394,ROBBERY-KNIFE OR CUTTING INSTRUMENT,12X,4700 WEBSTER ST,Oakland,CA,"4700 WEBSTER ST
Oakland, CA
(37.833849, -122.260144)"
STOLEN VEHICLE,04/17/2020 12:54:00 PM,20-019640,POSSESS/ETC BURGLARY TOOLS,26X,500 INDEPENDENT RD,Oakland,CA,"500 INDEPENDENT RD
Oakland, CA
(37.755159, -122.208286)"
STOLEN VEHICLE,03/06/2020 03:00:00 PM,20-013029,VEHICLE THEFT - AUTO,10X,1200 62ND ST,Oakland,CA,"1200 62ND ST
Oakland, CA
(37.844251, -122.286082)"
MISDEMEANOR ASSAULT,04/30/2020 05:30:00 PM,20-021813,BATTERY,04X,1400 MADISON ST,Oakland,CA,"1400 MADISON ST
Oakland, CA
(37.801507, -122.264074)"
GRAND THEFT,03/26/2020 01:20:00 PM,20-907737,GRAND THEFT,12Y,5300 MILES AV,Oakland,CA,"5300 MILES AV
Oakland, CA
(37.840268, -122.257482)"
ROBBERY,03/22/2020 05:00:00 PM,20-015716,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",30X,6600 FLORA ST,Oakland,CA,"6600 FLORA ST
Oakland, CA
(37.764619, -122.190517)"
PETTY THEFT,02/03/2020 06:00:00 PM,20-007073,THEFT,32X,1200 107TH AV,Oakland,CA,"1200 107TH AV
Oakland, CA
(37.736187, -122.169811)"
FRAUD,03/24/2020 07:59:00 AM,20-015954,EXTORTION,26X,800 51ST AV,Oakland,CA,"800 51ST AV
Oakland, CA
(37.765272, -122.212151)"
MISDEMEANOR ASSAULT,05/29/2020 09:30:00 PM,20-026620,BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC,03X,700 BROADWAY,Oakland,CA,"700 BROADWAY
Oakland, CA
(37.799572, -122.274093)"
GRAND THEFT,03/08/2020 11:00:00 PM,20-906873,GRAND THEFT,10X,900 57TH ST,Oakland,CA,"900 57TH ST
Oakland, CA
(37.841619, -122.274312)"
HOMICIDE,03/26/2020 10:04:00 AM,19-062954,BURGLARY-FORCIBLE ENTRY,26Y,900 69TH AV,Oakland,CA,"900 69TH AV
Oakland, CA
(37.756802, -122.196345)"
OTHER,05/19/2020 11:15:00 AM,20-024892,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,08X,2900 BROADWAY,Oakland,CA,"2900 BROADWAY
Oakland, CA
(37.817422, -122.26293)"
BURG - AUTO,03/06/2020 06:45:00 PM,20-906869,BURGLARY-AUTO,31X,7000 COLISEUM WY,Oakland,CA,"7000 COLISEUM WY
Oakland, CA
(37.754734, -122.204926)"
DOMESTIC VIOLENCE,03/21/2020 12:40:00 AM,20-015483,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27Y,2200 65TH AV,Oakland,CA,"2200 65TH AV
Oakland, CA
(37.765841, -122.190194)"
NARCOTICS,04/11/2020 07:47:00 PM,20-018775,PROBATION REVOKED/ETC,06X,600 39TH ST,Oakland,CA,"600 39TH ST
Oakland, CA
(37.828986, -122.268281)"
MISDEMEANOR ASSAULT,05/23/2020 02:38:00 AM,20-025478,BATTERY,12Y,5800 CANNING ST,Oakland,CA,"5800 CANNING ST
Oakland, CA
(37.8446, -122.259167)"
FELONY ASSAULT,05/18/2020 07:30:00 PM,20-024736,BATTERY,06X,600 23RD ST,Oakland,CA,"600 23RD ST
Oakland, CA
(37.813099, -122.271611)"
OTHER SEX OFFENSES,05/19/2020 06:30:00 PM,20-024918,SEXUAL BATTERY,30Y,7200 BANCROFT AV,Oakland,CA,"7200 BANCROFT AV
Oakland, CA
(37.766093, -122.177258)"
MISDEMEANOR ASSAULT,04/25/2020 12:27:00 AM,20-020858,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,29X,2800 61ST AV,Oakland,CA,"2800 61ST AV
Oakland, CA
(37.771844, -122.18703)"
PETTY THEFT,05/19/2020 11:00:00 PM,20-024867,THEFT,15X,600 HADDON RD,Oakland,CA,"600 HADDON RD
Oakland, CA
(37.806403, -122.245126)"
DOMESTIC VIOLENCE,04/17/2020 07:20:00 PM,20-019695,VANDALISM (AMENDED),18X,2000 23RD AV,Oakland,CA,"2000 23RD AV
Oakland, CA
(37.787593, -122.232019)"
MISDEMEANOR ASSAULT,04/11/2020 08:43:00 PM,20-018784,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27X,2100 50TH AV,Oakland,CA,"2100 50TH AV
Oakland, CA
(37.774347, -122.205112)"
STOLEN VEHICLE,03/08/2020 12:00:00 AM,20-013922,VEHICLE THEFT - AUTO,23X,3200 E 8TH ST,Oakland,CA,"3200 E 8TH ST
Oakland, CA
(37.77285, -122.227709)"
,05/24/2020 03:30:00 PM,20-025708,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,31Z,600 EL PASEO DR.,Oakland,CA,"600 EL PASEO DR.
Oakland, CA
(37.730512, -122.17715)"
STOLEN VEHICLE,04/16/2020 08:22:00 PM,20-019573,VEHICLE THEFT - AUTO,09X,3900 HARRISON ST,Oakland,CA,"3900 HARRISON ST
Oakland, CA
(37.821644, -122.250356)"
DISORDERLY CONDUCT,04/23/2020 04:10:00 PM,20-020640,DISTURB THE PEACE,17X,1800 PARK BLVD,Oakland,CA,"1800 PARK BLVD
Oakland, CA
(37.799143, -122.25096)"
FRAUD,03/07/2020 12:20:00 PM,20-906715,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,99X,400 KITTY HAWK RD,Oakland,CA,"400 KITTY HAWK RD
Oakland, CA"
PETTY THEFT,03/06/2020 04:30:00 PM,20-906718,THEFT BY USE OF ACCESS CARD,09X,3600 BROADWAY,Oakland,CA,"3600 BROADWAY
Oakland, CA
(37.823327, -122.259244)"
,05/08/2020 02:00:00 PM,20-023117,EXHIBIT FIREARM,06X,600 25TH ST,Oakland,CA,"600 25TH ST
Oakland, CA
(37.814946, -122.271992)"
NARCOTICS,03/22/2020 12:58:00 AM,20-015637,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,07X,800 28TH ST,Oakland,CA,"800 28TH ST
Oakland, CA
(37.818326, -122.274577)"
,03/19/2020 09:40:00 PM,20-015328,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,24X,3800 BROOKDALE AV,Oakland,CA,"3800 BROOKDALE AV
Oakland, CA
(37.78517, -122.207195)"
DOMESTIC VIOLENCE,05/05/2020 01:00:00 AM,20-022500,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26Y,1200 65TH AV,Oakland,CA,"1200 65TH AV
Oakland, CA
(37.761859, -122.195915)"
THREATS,04/08/2020 10:30:00 AM,20-018285,THREAT CRIME:INT:TERRORIZE,32X,1300 99TH AV,Oakland,CA,"1300 99TH AV
Oakland, CA
(37.74304, -122.171164)"
WEAPONS,04/16/2020 01:22:00 PM,20-019507,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,26X,1200 47TH AV,Oakland,CA,"1200 47TH AV
Oakland, CA
(37.769777, -122.21213)"
BURG - AUTO,03/08/2020 05:30:00 PM,20-906749,BURGLARY-AUTO,77X,17TH ST,Oakland,CA,"17TH ST
Oakland, CA"
DOMESTIC VIOLENCE,03/23/2020 03:30:00 PM,20-015865,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,20X,800 LISBON AV,Oakland,CA,"800 LISBON AV
Oakland, CA
(37.775896, -122.23473)"
ROBBERY,03/18/2020 06:55:00 PM,20-015141,CARJACKING WITH FIREARM,19X,1400 9TH AV,Oakland,CA,"1400 9TH AV
Oakland, CA
(37.792811, -122.250527)"
DOMESTIC VIOLENCE,05/09/2020 08:17:00 AM,20-023211,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,18Y,2200 E 21ST ST,Oakland,CA,"2200 E 21ST ST
Oakland, CA
(37.789581, -122.233085)"
ROBBERY,03/20/2020 02:40:00 PM,20-015404,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",03X,200 10TH ST,Oakland,CA,"200 10TH ST
Oakland, CA
(37.799236, -122.26697)"
GRAND THEFT,03/07/2020 04:06:00 AM,20-906877,GRAND THEFT,31X,400 PENDLETON WY,Oakland,CA,"400 PENDLETON WY
Oakland, CA
(37.735823, -122.200485)"
VANDALISM,03/09/2020 12:35:00 PM,20-906883,VANDALISM,17X,1800 PARK BLVD,Oakland,CA,"1800 PARK BLVD
Oakland, CA
(37.799143, -122.25096)"
STOLEN VEHICLE,03/23/2020 06:00:00 PM,20-015944,VEHICLE THEFT - AUTO,16Y,1100 EXCELSIOR AV,Oakland,CA,"1100 EXCELSIOR AV
Oakland, CA
(37.805157, -122.23399)"
FELONY ASSAULT,03/22/2020 06:59:00 PM,20-015732,EXHIBIT FIREARM,17X,1700 9TH AV,Oakland,CA,"1700 9TH AV
Oakland, CA
(37.794984, -122.247464)"
BURG - AUTO,03/22/2020 08:00:00 PM,20-015741,BURGLARY-AUTO,28X,2500 COURTLAND,Oakland,CA,"2500 COURTLAND
Oakland, CA
(37.780893, -122.204398)"
FELONY ASSAULT,03/23/2020 05:52:00 PM,20-015878,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,30X,1400 80TH AV,Oakland,CA,"1400 80TH AV
Oakland, CA
(37.756639, -122.181587)"
,05/30/2020 09:54:00 AM,20-026690,TAMPER WITH VEHICLE,26X,500 BLK INDEPENDENT RD,Oakland,CA,"500 BLK INDEPENDENT RD
Oakland, CA
(37.755159, -122.208286)"
BURG - AUTO,01/24/2020 11:00:00 PM,20-906768,BURGLARY-AUTO,19X,200 6TH AV,Oakland,CA,"200 6TH AV
Oakland, CA
(37.789287, -122.260031)"
MISDEMEANOR ASSAULT,05/16/2020 12:50:00 AM,20-024311,BATTERY,08X,500 29TH ST,Oakland,CA,"500 29TH ST
Oakland, CA
(37.818276, -122.267468)"
,05/30/2020 02:10:00 AM,20-026676,VEHICLE THEFT - AUTO,33X,1000 82ND AVE,Oakland,CA,"1000 82ND AVE
Oakland, CA
(37.752401, -122.185277)"
MISDEMEANOR ASSAULT,03/11/2020 11:05:00 AM,20-013834,BATTERY,09X,200 W MACARTHUR BLVD,Oakland,CA,"200 W MACARTHUR BLVD
Oakland, CA
(37.822651, -122.255684)"
,05/23/2020 05:00:00 PM,20-025618,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,14Y,100 SANTA ROSA AVE,Oakland,CA,"100 SANTA ROSA AVE
Oakland, CA
(37.820411, -122.251307)"
DISORDERLY CONDUCT,03/22/2020 10:48:00 AM,20-015683,DISTURB THE PEACE,29X,6800 FOOTHILL BLVD,Oakland,CA,"6800 FOOTHILL BLVD
Oakland, CA
(37.769955, -122.178467)"
,03/30/2020 05:00:00 PM,20-017065,VEHICLE THEFT - AUTO,12Y,6100 CHABOT RD,Oakland,CA,"6100 CHABOT RD
Oakland, CA
(37.847681, -122.250578)"
NARCOTICS,03/18/2020 05:00:00 PM,20-015078,POSSESS NARCOTIC CONTROLLED SUBSTANCE,29X,57TH AV & FOOTHILL BLVD,Oakland,CA,"57TH AV & FOOTHILL BLVD
Oakland, CA
(37.772232, -122.193924)"
MISDEMEANOR ASSAULT,05/05/2020 08:00:00 AM,20-022573,BATTERY,14X,300 MACARTHUR BLVD,Oakland,CA,"300 MACARTHUR BLVD
Oakland, CA
(37.817514, -122.25297)"
BURG - AUTO,05/15/2020 07:50:00 AM,20-024192,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,19X,1200 11TH AV,Oakland,CA,"1200 11TH AV
Oakland, CA
(37.790782, -122.249633)"
PETTY THEFT,04/22/2020 04:00:00 PM,20-909088,MAIL/ETC THEFT/ETC,09X,200 MATHER ST,Oakland,CA,"200 MATHER ST
Oakland, CA
(37.831424, -122.249081)"
MISDEMEANOR ASSAULT,04/02/2020 11:31:00 PM,20-017474,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,32Y,3000 98TH AV,Oakland,CA,"3000 98TH AV
Oakland, CA
(37.752575, -122.153287)"
MISDEMEANOR ASSAULT,05/05/2020 10:25:00 AM,20-022587,ASSAULT AND BATTERY,08X,2900 MCCLURE ST,Oakland,CA,"2900 MCCLURE ST
Oakland, CA
(37.81802, -122.266462)"
NARCOTICS,05/07/2020 04:00:00 PM,20-022943,TRANSPORT/SELL NARCOTIC/CONTROLLED SUBSTANCE,04X,600 15TH ST,Oakland,CA,"600 15TH ST
Oakland, CA
(37.806575, -122.274793)"
MISDEMEANOR ASSAULT,05/09/2020 10:27:00 PM,20-023310,BATTERY,34X,2000 84TH AV,Oakland,CA,"2000 84TH AV
Oakland, CA
(37.75762, -122.171043)"
RECOVERED O/S STOLEN,05/19/2020 11:19:00 AM,20-024811,VEHICLE THEFT - AUTO,04X,1400 JEFFERSON ST,Oakland,CA,"1400 JEFFERSON ST
Oakland, CA
(37.805744, -122.274769)"
PETTY THEFT,03/16/2020 07:31:00 PM,20-907299,MAIL/ETC THEFT/ETC,17Y,2100 10TH AV,Oakland,CA,"2100 10TH AV
Oakland, CA
(37.7968, -122.243103)"
PETTY THEFT,04/21/2020 12:00:00 AM,20-020435,THEFT,02X,1000 MANDELA PKWY,Oakland,CA,"1000 MANDELA PKWY
Oakland, CA
(37.808008, -122.292322)"
,04/18/2020 05:28:00 PM,20-019832,ROBBERY-FIREARM,03X,00 7TH ST,Oakland,CA,"00 7TH ST
Oakland, CA"
DOMESTIC VIOLENCE,03/08/2020 07:24:00 AM,20-015374,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,35Y,00 ELYSIAN FIELDS DR,Oakland,CA,"00 ELYSIAN FIELDS DR
Oakland, CA"
,04/05/2020 02:25:00 PM,20-017841,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,25X,4400 MACARTHUR BLVD,Oakland,CA,"4400 MACARTHUR BLVD
Oakland, CA
(37.786703, -122.19415)"
HOMICIDE,05/02/2020 03:49:00 PM,20-022134,SC UNEXPLAINED DEATH,13Y,7000 ELVERTON DR,Oakland,CA,"7000 ELVERTON DR
Oakland, CA
(37.845287, -122.199004)"
DUI,03/21/2020 11:43:00 PM,20-015630,DUI ALCOHOL/0.08 PERCENT,19X,1200 12TH AV,Oakland,CA,"1200 12TH AV
Oakland, CA
(37.790061, -122.248801)"
,05/22/2020 03:00:00 PM,20-025424,BATTERY,14X,100 BAY PL,Oakland,CA,"100 BAY PL
Oakland, CA
(37.811817, -122.260582)"
ROBBERY,04/18/2020 05:03:00 PM,20-019827,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",04X,300 20TH ST,Oakland,CA,"300 20TH ST
Oakland, CA
(37.80816, -122.264712)"
STOLEN VEHICLE,05/10/2020 10:00:00 PM,20-023522,POSSESS/ETC BURGLARY TOOLS,26X,5100 E 8TH ST,Oakland,CA,"5100 E 8TH ST
Oakland, CA
(37.765194, -122.212252)"
GRAND THEFT,05/04/2020 08:30:00 PM,20-909805,GRAND THEFT,28X,2800 RAWSON ST,Oakland,CA,"2800 RAWSON ST
Oakland, CA
(37.778398, -122.195366)"
THREATS,03/18/2020 07:00:00 PM,20-015179,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,30X,1500 76TH AV,Oakland,CA,"1500 76TH AV
Oakland, CA
(37.759572, -122.182793)"
STOLEN VEHICLE,03/15/2020 01:15:00 AM,20-907298,ATTEMPT VEHICLE THEFT-AUTO,29X,5600 FOOTHILL BLVD,Oakland,CA,"5600 FOOTHILL BLVD
Oakland, CA
(37.77234, -122.194489)"
VANDALISM,03/16/2020 09:00:00 PM,20-907338,VANDALISM,10Y,800 59TH ST,Oakland,CA,"800 59TH ST
Oakland, CA
(37.844229, -122.270788)"
STOLEN VEHICLE,04/06/2020 05:00:00 PM,20-018310,VEHICLE THEFT - AUTO,22X,2500 DAMUTH ST,Oakland,CA,"2500 DAMUTH ST
Oakland, CA
(37.800969, -122.21099)"
MISCELLANEOUS TRAFFIC CRIME,05/04/2020 10:39:00 PM,20-022463,DUI ALCOHOL/DRUGS,19X,1400 8TH AV,Oakland,CA,"1400 8TH AV
Oakland, CA
(37.793573, -122.251313)"
THREATS,11/19/2019 11:00:00 AM,19-060644,CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER/ETC,21X,2300 25TH AV,Oakland,CA,"2300 25TH AV
Oakland, CA
(37.787933, -122.226966)"
STOLEN VEHICLE,03/24/2020 02:00:00 PM,20-018309,VEHICLE THEFT - AUTO,13Y,5900 SHERWOOD DR,Oakland,CA,"5900 SHERWOOD DR
Oakland, CA
(37.839459, -122.214134)"
STOLEN VEHICLE,04/10/2020 04:00:00 PM,20-018689,VEHICLE THEFT - AUTO,17Y,800 E 23RD ST,Oakland,CA,"800 E 23RD ST
Oakland, CA
(37.799494, -122.24304)"
WEAPONS,05/18/2020 07:53:00 PM,20-024737,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,18X,1900 16TH AV,Oakland,CA,"1900 16TH AV
Oakland, CA
(37.791959, -122.240749)"
ROBBERY,03/14/2020 07:40:00 PM,20-014500,ROBBERY-FIREARM,17Y,2300 11TH AV,Oakland,CA,"2300 11TH AV
Oakland, CA
(37.797289, -122.240555)"
MISDEMEANOR ASSAULT,05/09/2020 09:12:00 AM,20-023220,ANYONE WHO WILLFULLY DISCHARGES A FIREARM IN A GROSSLY NEGLIGENT MANNER,34X,1600 87TH AV,Oakland,CA,"1600 87TH AV
Oakland, CA
(37.752684, -122.173687)"
HOMICIDE,03/28/2020 07:04:00 PM,20-016616,ASSAULT WITH FIREARM ON PERSON,21Y,3300 NICOL AV,Oakland,CA,"3300 NICOL AV
Oakland, CA
(37.791078, -122.211009)"
DOMESTIC VIOLENCE,05/16/2020 03:00:00 AM,20-024320,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,07X,3200 SAN PABLO AV,Oakland,CA,"3200 SAN PABLO AV
Oakland, CA
(37.822525, -122.277063)"
FORGERY & COUNTERFEITING,05/02/2020 04:30:00 PM,20-022102,OBT CREDIT/ETC:OTHER'S ID,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
THREATS,05/03/2020 11:20:00 AM,20-022366,THREAT CRIME:INT:TERRORIZE,22X,3400 FRUITVALE AV,Oakland,CA,"3400 FRUITVALE AV
Oakland, CA
(37.799279, -122.216563)"
STOLEN VEHICLE,04/24/2020 06:40:00 PM,20-020836,VEHICLE THEFT - AUTO,35Y,4800 GRASS VALLEY RD,Oakland,CA,"4800 GRASS VALLEY RD
Oakland, CA
(37.752126, -122.120598)"
,05/24/2020 02:28:00 AM,20-025634,BURGLARY-FORCIBLE ENTRY,33X,8400 AMELIA STREET,Oakland,CA,"8400 AMELIA STREET
Oakland, CA
(37.74936, -122.186884)"
DOMESTIC VIOLENCE,04/11/2020 09:00:00 PM,20-018788,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,24X,3500 FOOTHILL BLVD,Oakland,CA,"3500 FOOTHILL BLVD
Oakland, CA
(37.782111, -122.219088)"
DOMESTIC VIOLENCE,03/18/2020 03:29:00 PM,20-015104,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,32X,10800 BEVERLY AV,Oakland,CA,"10800 BEVERLY AV
Oakland, CA
(37.739411, -122.159134)"
PETTY THEFT,03/03/2020 04:30:00 PM,20-024863,THEFT,20X,2800 E 16TH ST,Oakland,CA,"2800 E 16TH ST
Oakland, CA
(37.781391, -122.228218)"
THREATS,03/21/2020 05:00:00 PM,20-015598,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,29X,4000 BURCKHALTER AV,Oakland,CA,"4000 BURCKHALTER AV
Oakland, CA
(37.775795, -122.166562)"
PETTY THEFT,03/09/2020 08:10:00 AM,20-906903,THEFT,77X,740A 44TH ST,Oakland,CA,"740A 44TH ST
Oakland, CA
(37.833196, -122.269549)"
THREATS,05/09/2020 10:11:00 PM,20-023164,THREAT CRIME:INT:TERRORIZE,30Y,2700 76TH AV,Oakland,CA,"2700 76TH AV
Oakland, CA
(37.766607, -122.171708)"
,05/24/2020 12:14:00 AM,20-025621,THREAT CRIME:INT:TERRORIZE,21Y,IFO 3214 CHAMPION ST.,Oakland,CA,"IFO 3214 CHAMPION ST.
Oakland, CA"
BURG - AUTO,03/24/2020 02:30:00 PM,20-016820,BURGLARY-AUTO,30X,8100 INTERNATIONAL BLVD,Oakland,CA,"8100 INTERNATIONAL BLVD
Oakland, CA
(37.756141, -122.180557)"
MISDEMEANOR ASSAULT,04/28/2020 12:01:00 AM,20-024763,STALKING-MISD,30Y,7500 CIRCLE HILL DR,Oakland,CA,"7500 CIRCLE HILL DR
Oakland, CA
(37.774254, -122.163015)"
,05/29/2020 10:35:00 PM,20-026628,ASSAULT WITH FIREARM ON PERSON,23X,1200 FRUITVALE AVE,Oakland,CA,"1200 FRUITVALE AVE
Oakland, CA
(37.776456, -122.226428)"
,03/14/2020 09:15:00 PM,20-014507,"VANDALISM [UNDER $1,000] (AMENDED)",01X,100 WEBSTER ST,Oakland,CA,"100 WEBSTER ST
Oakland, CA
(37.79469, -122.27421)"
STOLEN VEHICLE,03/24/2020 05:00:00 PM,20-016394,VEHICLE THEFT - AUTO,05X,800 22ND ST,Oakland,CA,"800 22ND ST
Oakland, CA
(37.812805, -122.276245)"
,04/01/2020 12:00:00 AM,20-017856,ASSAULT WITH FIREARM ON PERSON,31X,400 HEGENBERGER RD,Oakland,CA,"400 HEGENBERGER RD
Oakland, CA
(37.735772, -122.197083)"
MISDEMEANOR ASSAULT,03/04/2020 08:27:00 PM,20-012522,BATTERY,32Y,10400 MACARTHUR BLVD,Oakland,CA,"10400 MACARTHUR BLVD
Oakland, CA
(37.743489, -122.152991)"
DOMESTIC VIOLENCE,03/18/2020 11:15:00 PM,20-015173,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,02Y,1400 3RD ST,Oakland,CA,"1400 3RD ST
Oakland, CA"
FELONY ASSAULT,04/11/2020 08:44:00 AM,20-018690,BATTERY,27Y,5400 PRINCETON ST,Oakland,CA,"5400 PRINCETON ST
Oakland, CA
(37.77091, -122.200627)"
FORGERY & COUNTERFEITING,04/11/2020 11:39:00 AM,20-018710,FORGE NAME:ACCESS CARD/ETC,02Y,8TH ST & HENRY ST,Oakland,CA,"8TH ST & HENRY ST
Oakland, CA
(37.806845, -122.296666)"
GRAND THEFT,03/29/2020 12:20:00 PM,20-909325,GRAND THEFT,01X,100 4TH ST,Oakland,CA,"100 4TH ST
Oakland, CA
(37.794197, -122.267262)"
ROBBERY,01/08/2020 09:00:00 PM,20-018702,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,34X,8400 INTERNATIONAL BLVD,Oakland,CA,"8400 INTERNATIONAL BLVD
Oakland, CA
(37.754272, -122.17775)"
NARCOTICS,03/18/2020 05:44:00 PM,20-015136,PROB VIOL:REAREST/REVOKE,19X,2200 E 15TH ST,Oakland,CA,"2200 E 15TH ST
Oakland, CA
(37.785335, -122.236987)"
BURG - AUTO,03/09/2020 08:15:00 PM,20-906904,BURGLARY-AUTO,03X,300 8TH ST,Oakland,CA,"300 8TH ST
Oakland, CA
(37.798794, -122.270189)"
GRAND THEFT,02/13/2020 01:35:00 PM,20-907340,GRAND THEFT,22X,2400 MACARTHUR BLVD,Oakland,CA,"2400 MACARTHUR BLVD
Oakland, CA
(37.799675, -122.213488)"
MISCELLANEOUS TRAFFIC CRIME,05/03/2020 05:43:00 AM,20-022188,DUI ALCOHOL/DRUGS,04X,400 22ND ST,Oakland,CA,"400 22ND ST
Oakland, CA
(37.81094, -122.267393)"
ROBBERY,03/23/2020 10:00:00 AM,20-015803,THEFT,25X,4800 TOMPKINS AV,Oakland,CA,"4800 TOMPKINS AV
Oakland, CA
(37.784964, -122.185213)"
